image_path,model,label,pred_diagnosis,pred_confidence,correct,faithfulness_score,fluency_proxy_score,explanation,findings
/content/chest_xray/test/PNEUMONIA/person139_bacteria_663.jpeg,qwen2.5_zero_shot,pneumonia,normal,medium,0,1.0,0.5,"No signs of consolidation, atelectasis, or pleural effusion that would be indicative of pneumonia.",[]
/content/chest_xray/test/PNEUMONIA/person134_bacteria_640.jpeg,qwen2.5_zero_shot,pneumonia,normal,medium,0,0.0,0.5,"No significant abnormalities observed in the lung fields, trachea, or mediastinum.",[]
/content/chest_xray/test/NORMAL/NORMAL2-IM-0110-0001.jpeg,qwen2.5_zero_shot,normal,normal,high,1,0.0,0.5,"No signs of consolidation, atelectasis, or pleural effusion that would be indicative of pneumonia.",[]
/content/chest_xray/test/NORMAL/NORMAL2-IM-0370-0001.jpeg,qwen2.5_zero_shot,normal,normal,medium,1,1.0,0.5,"No significant abnormalities observed in the lung fields, trachea, or mediastinum.",[]
/content/chest_xray/test/NORMAL/NORMAL2-IM-0309-0001.jpeg,qwen2.5_zero_shot,normal,normal,medium,1,0.0,0.5,"No signs of consolidation, atelectasis, or pleural effusion that would be indicative of pneumonia.",[]
/content/chest_xray/test/NORMAL/NORMAL2-IM-0229-0001.jpeg,qwen2.5_zero_shot,normal,normal,medium,1,0.5,0.5,No significant findings observed in the chest X-ray.,[]
/content/chest_xray/test/NORMAL/NORMAL2-IM-0369-0001.jpeg,qwen2.5_zero_shot,normal,normal,medium,1,0.5,0.5,No significant findings observed in the chest X-ray.,[]
/content/chest_xray/test/NORMAL/NORMAL2-IM-0086-0001.jpeg,qwen2.5_zero_shot,normal,normal,medium,1,0.5,0.5,No significant findings observed in the lung fields.,[]
/content/chest_xray/test/PNEUMONIA/person80_bacteria_390.jpeg,qwen2.5_zero_shot,pneumonia,normal,medium,0,0.5,0.5,No significant findings observed in the chest X-ray.,[]
/content/chest_xray/test/PNEUMONIA/person101_bacteria_483.jpeg,qwen2.5_zero_shot,pneumonia,normal,high,0,1.0,0.0,"The chest X-ray shows no signs of consolidation, infiltrates, or other abnormalities that would suggest pneumonia.",[]
/content/chest_xray/test/PNEUMONIA/person57_virus_113.jpeg,qwen2.5_zero_shot,pneumonia,normal,high,0,1.0,0.0,"The chest X-ray shows no signs of consolidation, infiltrates, or other radiographic features indicative of pneumonia.",[]
/content/chest_xray/test/NORMAL/NORMAL2-IM-0241-0001.jpeg,qwen2.5_zero_shot,normal,normal,medium,1,1.0,0.5,"No significant abnormalities observed in the lung fields, trachea, or mediastinum.",[]
/content/chest_xray/test/PNEUMONIA/person1_virus_12.jpeg,qwen2.5_zero_shot,pneumonia,normal,medium,0,0.5,0.5,No significant findings observed in the chest X-ray.,[]
/content/chest_xray/test/PNEUMONIA/person122_bacteria_582.jpeg,qwen2.5_zero_shot,pneumonia,normal,medium,0,0.5,0.5,No significant findings observed in the chest X-ray.,[]
/content/chest_xray/test/PNEUMONIA/person11_virus_38.jpeg,qwen2.5_zero_shot,pneumonia,normal,medium,0,0.0,0.5,"No significant abnormalities observed in the lung fields, trachea, or mediastinum.",[]
/content/chest_xray/test/PNEUMONIA/person69_virus_129.jpeg,qwen2.5_zero_shot,pneumonia,normal,medium,0,1.0,0.0,"The image shows no signs of consolidation, infiltrates, or other radiographic features indicative of pneumonia.",[]
/content/chest_xray/test/PNEUMONIA/person1632_virus_2827.jpeg,qwen2.5_zero_shot,pneumonia,normal,high,0,1.0,0.5,"No signs of consolidation, infiltrates, or pleural effusion that would suggest pneumonia.",[]
/content/chest_xray/test/NORMAL/NORMAL2-IM-0364-0001.jpeg,qwen2.5_zero_shot,normal,normal,high,1,0.0,0.5,"No signs of consolidation, atelectasis, or other radiographic findings indicative of pneumonia.",[]
/content/chest_xray/test/NORMAL/NORMAL2-IM-0366-0001.jpeg,qwen2.5_zero_shot,normal,normal,medium,1,1.0,0.5,No significant findings indicating pneumonia or other abnormalities.,[]
/content/chest_xray/test/NORMAL/NORMAL2-IM-0287-0001.jpeg,qwen2.5_zero_shot,normal,normal,medium,1,1.0,0.5,"No significant abnormalities observed in the lung fields, trachea, or mediastinum.",[]
